"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2021","3.794","3.975","4.085","3.770","162.59K","-3.34%"
"Dec 14, 2021","3.747","3.802","3.840","3.686","116.83K","-1.24%"
"Dec 15, 2021","3.802","3.785","3.926","3.766","110.31K","1.47%"
"Dec 16, 2021","3.766","3.814","3.976","3.729","122.85K","-0.95%"
"Dec 17, 2021","3.690","3.783","3.814","3.617","101.63K","-2.02%"
"Dec 20, 2021","3.834","3.645","3.924","3.642","128.58K","3.90%"
"Dec 21, 2021","3.869","3.840","3.947","3.719","128.44K","0.91%"
"Dec 22, 2021","3.976","3.870","4.041","3.816","86.62K","2.77%"
"Dec 23, 2021","3.731","3.970","4.006","3.599","82.23K","-6.16%"
"Dec 27, 2021","4.060","3.958","4.087","3.767","38.91K","8.82%"
"Dec 28, 2021","4.055","4.065","4.154","3.955","35.64K","-0.12%"
"Dec 29, 2021","4.024","4.080","4.261","3.905","4.82K","-0.76%"
"Dec 30, 2021","3.561","3.853","3.966","3.536","124.67K","-11.51%"
"Dec 31, 2021","3.730","3.589","3.794","3.572","93.10K","4.75%"
"Jan 03, 2022","3.815","3.702","3.858","3.638","99.07K","2.28%"
"Jan 04, 2022","3.717","3.817","3.944","3.709","133.39K","-2.57%"
"Jan 05, 2022","3.882","3.747","3.897","3.717","96.81K","4.44%"
"Jan 06, 2022","3.812","3.842","3.931","3.801","116.58K","-1.80%"
"Jan 07, 2022","3.916","3.860","3.980","3.800","127.01K","2.73%"
"Jan 10, 2022","4.079","4.144","4.213","3.977","177.63K","4.16%"
"Jan 11, 2022","4.249","4.119","4.261","4.007","121.62K","4.17%"
"Jan 12, 2022","4.857","4.225","4.879","4.186","217.50K","14.31%"
"Jan 13, 2022","4.270","4.791","4.844","4.245","221.61K","-12.09%"
"Jan 14, 2022","4.262","4.263","4.305","4.097","108.86K","-0.19%"
"Jan 16, 2022","4.335","4.338","4.350","4.323","-","1.71%"
"Jan 17, 2022","4.276","4.330","4.353","4.216","-","-1.36%"
"Jan 18, 2022","4.283","4.356","4.390","4.216","119.45K","0.16%"
"Jan 19, 2022","4.031","4.327","4.385","4.010","116.54K","-5.88%"
"Jan 20, 2022","3.802","4.015","4.037","3.781","104.20K","-5.68%"
"Jan 21, 2022","3.999","3.838","4.044","3.833","70.26K","5.18%"
"Jan 24, 2022","4.027","3.915","4.068","3.876","47.10K","0.70%"
"Jan 25, 2022","4.053","3.959","4.079","3.889","23.44K","0.65%"
"Jan 26, 2022","4.277","4.040","4.390","4.011","44.32K","5.53%"
"Jan 27, 2022","4.283","4.000","4.420","3.990","7.18K","0.14%"
"Jan 28, 2022","4.639","4.342","4.876","4.286","263.42K","8.31%"
"Jan 31, 2022","4.874","4.867","5.057","4.695","156.75K","5.07%"
"Feb 01, 2022","4.751","4.921","4.974","4.620","140.79K","-2.52%"
"Feb 02, 2022","5.501","4.893","5.572","4.857","305.90K","15.79%"
"Feb 03, 2022","4.888","5.420","5.454","4.816","205.84K","-11.14%"
"Feb 04, 2022","4.572","4.929","5.087","4.487","152.12K","-6.46%"
"Feb 07, 2022","4.232","4.384","4.468","4.120","192.86K","-7.44%"
"Feb 08, 2022","4.248","4.276","4.381","4.173","154.44K","0.38%"
"Feb 09, 2022","4.009","4.211","4.259","3.983","154.60K","-5.63%"
"Feb 10, 2022","3.959","4.035","4.068","3.882","141.74K","-1.25%"
"Feb 11, 2022","3.941","3.944","4.056","3.876","177.37K","-0.45%"
"Feb 14, 2022","4.195","4.103","4.229","4.040","121.20K","6.45%"
"Feb 15, 2022","4.306","4.183","4.428","4.157","141.95K","2.65%"
"Feb 16, 2022","4.717","4.393","4.740","4.370","155.48K","9.54%"
"Feb 17, 2022","4.486","4.642","4.793","4.402","117.79K","-4.90%"
"Feb 18, 2022","4.431","4.517","4.654","4.371","73.22K","-1.23%"
"Feb 20, 2022","4.579","4.529","4.598","4.527","-","3.34%"
"Feb 21, 2022","4.705","4.580","4.745","4.520","-","2.75%"
"Feb 22, 2022","4.498","4.594","4.861","4.448","42.64K","-4.40%"
"Feb 23, 2022","4.623","4.504","4.704","4.452","47.18K","2.78%"
"Feb 24, 2022","4.568","4.603","4.940","4.293","3.54K","-1.19%"
"Feb 25, 2022","4.470","4.573","4.716","4.417","114.86K","-2.15%"
"Feb 28, 2022","4.402","4.620","4.683","4.366","107.19K","-1.52%"
"Mar 01, 2022","4.573","4.408","4.627","4.340","112.55K","3.88%"
"Mar 02, 2022","4.762","4.600","4.911","4.600","141.69K","4.13%"
"Mar 03, 2022","4.722","4.795","4.936","4.628","137.15K","-0.84%"
"Mar 04, 2022","5.016","4.750","5.045","4.728","125.39K","6.23%"
"Mar 07, 2022","4.833","5.041","5.184","4.781","130.86K","-3.65%"
"Mar 08, 2022","4.527","4.818","4.882","4.507","159.17K","-6.33%"
"Mar 09, 2022","4.526","4.569","4.625","4.450","95.13K","-0.02%"
"Mar 10, 2022","4.631","4.520","4.671","4.499","81.81K","2.32%"
"Mar 11, 2022","4.725","4.657","4.797","4.622","84.51K","2.03%"
"Mar 14, 2022","4.658","4.705","4.759","4.506","73.96K","-1.42%"
"Mar 15, 2022","4.568","4.679","4.682","4.459","86.94K","-1.93%"
"Mar 16, 2022","4.748","4.625","4.776","4.594","80.52K","3.94%"
"Mar 17, 2022","4.990","4.747","5.001","4.691","93.84K","5.10%"
"Mar 18, 2022","4.863","4.930","4.957","4.811","67.27K","-2.55%"
"Mar 21, 2022","4.900","4.909","4.976","4.748","75.46K","0.76%"
"Mar 22, 2022","5.187","4.948","5.204","4.877","122.75K","5.86%"
"Mar 23, 2022","5.232","5.147","5.330","5.092","74.54K","0.87%"
"Mar 24, 2022","5.401","5.115","5.464","5.063","84.23K","3.23%"
"Mar 25, 2022","5.571","5.401","5.577","5.345","-","3.15%"
